383,-1,-1,-1,-1
384,-1,-1,-1,-1
385,-1,-1,-1,-1
386,-1,-1,-1,-1
387,-1,-1,-1,-1
388,-1,-1,-1,-1
389,-1,-1,-1,-1
390,-1,-1,-1,-1
391,-1,-1,-1,-1
392,-1,-1,-1,-1
393,-1,-1,-1,-1
394,-1,-1,-1,-1
395,-1,-1,-1,-1
396,-1,-1,-1,-1
397,-1,-1,-1,-1
398,-1,-1,-1,-1
399,-1,-1,-1,-1
400,-1,-1,-1,-1
401,-1,-1,-1,-1
402,-1,-1,-1,-1
403,-1,-1,-1,-1
404,-1,-1,-1,-1
405,-1,-1,-1,-1
406,-1,-1,-1,-1
407,-1,-1,-1,-1
408,-1,-1,-1,-1
409,-1,-1,-1,-1
410,-1,-1,-1,-1
411,-1,-1,-1,-1
412,-1,-1,-1,-1
413,-1,-1,-1,-1
414,-1,-1,-1,-1
415,-1,-1,-1,-1
416,-1,-1,-1,-1
417,-1,-1,-1,-1
418,-1,-1,-1,-1
419,-1,-1,-1,-1
420,-1,-1,-1,-1
421,-1,-1,-1,-1
422,-1,-1,-1,-1
423,-1,-1,-1,-1
424,-1,-1,-1,-1
425,-1,-1,-1,-1
426,-1,-1,-1,-1
427,-1,-1,-1,-1
428,-1,-1,-1,-1
429,-1,-1,-1,-1
430,-1,-1,-1,-1
431,-1,-1,-1,-1
432,-1,-1,-1,-1
433,-1,-1,-1,-1
434,-1,-1,-1,-1
435,-1,-1,-1,-1
436,-1,-1,-1,-1
437,-1,-1,-1,-1
438,-1,-1,-1,-1
439,-1,-1,-1,-1
440,-1,-1,-1,-1
441,80000700,-1,-1,-1
442,80000600,80000701,-1,-1
443,80000500,80000601,80000702,-1
444,80000400,80000501,80000602,80000703
445,-1,80000401,80000502,80000603
446,-1,-1,80000402,80000503
447,-1,-1,-1,80000403
448,-1,-1,-1,-1
449,-1,-1,-1,-1
450,-1,-1,-1,-1
451,-1,-1,-1,-1
452,-1,-1,-1,-1
453,-1,-1,-1,-1
454,-1,-1,-1,-1
455,-1,-1,-1,-1
456,-1,-1,-1,-1
457,-1,-1,-1,-1
458,-1,-1,-1,-1
459,-1,-1,-1,-1
460,-1,-1,-1,-1
461,-1,-1,-1,-1
462,-1,-1,-1,-1
463,-1,-1,-1,-1
464,-1,-1,-1,-1
465,-1,-1,-1,-1
466,-1,-1,-1,-1
467,-1,-1,-1,-1
468,-1,-1,-1,-1
469,-1,-1,-1,-1
470,-1,-1,-1,-1
471,-1,-1,-1,-1
472,-1,-1,-1,-1
473,-1,-1,-1,-1
474,-1,-1,-1,-1
475,-1,-1,-1,-1
476,-1,-1,-1,-1
477,-1,-1,-1,-1
478,-1,-1,-1,-1
479,-1,-1,-1,-1
480,-1,-1,-1,-1
481,-1,-1,-1,-1
482,-1,-1,-1,-1
483,-1,-1,-1,-1
484,-1,-1,-1,-1
485,-1,-1,-1,-1
486,-1,-1,-1,-1
487,-1,-1,-1,-1
488,-1,-1,-1,-1
489,-1,-1,-1,-1
490,-1,-1,-1,-1
491,-1,-1,-1,-1
492,-1,-1,-1,-1
493,-1,-1,-1,-1
494,-1,-1,-1,-1
495,-1,-1,-1,-1
496,-1,-1,-1,-1
497,-1,-1,-1,-1
498,-1,-1,-1,-1
499,-1,-1,-1,-1
500,-1,-1,-1,-1
501,-1,-1,-1,-1
502,-1,-1,-1,-1
503,-1,-1,-1,-1
504,-1,-1,-1,-1
505,-1,-1,-1,-1
506,-1,-1,-1,-1
507,-1,-1,-1,-1
508,-1,-1,-1,-1
509,-1,-1,-1,-1
510,-1,-1,-1,-1
511,-1,-1,-1,-1
512,-1,-1,-1,-1
513,-1,-1,-1,-1
514,-1,-1,-1,-1
515,-1,-1,-1,-1
516,-1,-1,-1,-1
517,-1,-1,-1,-1
518,-1,-1,-1,-1
519,-1,-1,-1,-1
520,-1,-1,-1,-1
521,-1,-1,-1,-1
522,-1,-1,-1,-1
523,-1,-1,-1,-1
524,-1,-1,-1,-1
525,-1,-1,-1,-1
526,-1,-1,-1,-1
527,-1,-1,-1,-1
528,-1,-1,-1,-1
529,-1,-1,-1,-1
530,-1,-1,-1,-1
531,-1,-1,-1,-1
532,-1,-1,-1,-1
533,-1,-1,-1,-1
534,-1,-1,-1,-1
535,-1,-1,-1,-1
536,-1,-1,-1,-1
537,-1,-1,-1,-1
538,-1,-1,-1,-1
539,-1,-1,-1,-1
540,-1,-1,-1,-1
541,-1,-1,-1,-1
542,-1,-1,-1,-1
543,-1,-1,-1,-1
544,-1,-1,-1,-1
545,-1,-1,-1,-1
546,-1,-1,-1,-1
547,80001100,-1,-1,-1
548,80001000,80001101,-1,-1
549,80000900,80001001,80001102,-1
550,80000800,80000901,80001002,80001103
551,-1,80000801,80000902,80001003
552,-1,-1,80000802,80000903
553,-1,-1,-1,80000803
554,-1,-1,-1,-1
555,-1,-1,-1,-1
556,-1,-1,-1,-1
557,-1,-1,-1,-1
558,-1,-1,-1,-1
559,-1,-1,-1,-1
560,-1,-1,-1,-1
561,-1,-1,-1,-1
562,-1,-1,-1,-1
563,-1,-1,-1,-1
564,-1,-1,-1,-1
565,-1,-1,-1,-1
566,-1,-1,-1,-1
567,-1,-1,-1,-1
568,-1,-1,-1,-1
569,-1,-1,-1,-1
570,-1,-1,-1,-1
571,-1,-1,-1,-1
572,-1,-1,-1,-1
573,-1,-1,-1,-1
574,-1,-1,-1,-1
575,-1,-1,-1,-1
576,-1,-1,-1,-1
577,-1,-1,-1,-1
578,-1,-1,-1,-1
579,-1,-1,-1,-1
580,-1,-1,-1,-1
581,-1,-1,-1,-1
582,-1,-1,-1,-1
583,-1,-1,-1,-1
584,-1,-1,-1,-1
585,-1,-1,-1,-1
586,-1,-1,-1,-1
587,-1,-1,-1,-1
588,-1,-1,-1,-1
589,-1,-1,-1,-1
590,-1,-1,-1,-1
591,-1,-1,-1,-1
592,-1,-1,-1,-1
593,-1,-1,-1,-1
594,-1,-1,-1,-1
595,-1,-1,-1,-1
596,-1,-1,-1,-1
597,-1,-1,-1,-1
598,-1,-1,-1,-1
599,-1,-1,-1,-1
600,-1,-1,-1,-1
601,-1,-1,-1,-1
602,-1,-1,-1,-1
603,-1,-1,-1,-1
604,-1,-1,-1,-1
605,-1,-1,-1,-1
606,-1,-1,-1,-1
607,-1,-1,-1,-1
608,-1,-1,-1,-1
609,-1,-1,-1,-1
610,-1,-1,-1,-1
611,-1,-1,-1,-1
612,-1,-1,-1,-1
613,-1,-1,-1,-1
614,-1,-1,-1,-1
615,-1,-1,-1,-1
616,-1,-1,-1,-1
617,-1,-1,-1,-1
618,-1,-1,-1,-1
619,-1,-1,-1,-1
620,-1,-1,-1,-1
621,-1,-1,-1,-1
622,-1,-1,-1,-1
623,-1,-1,-1,-1
624,-1,-1,-1,-1
625,-1,-1,-1,-1
626,-1,-1,-1,-1
627,-1,-1,-1,-1
628,-1,-1,-1,-1
629,-1,-1,-1,-1
630,-1,-1,-1,-1
631,-1,-1,-1,-1
632,-1,-1,-1,-1
633,-1,-1,-1,-1
634,-1,-1,-1,-1
635,-1,-1,-1,-1
636,-1,-1,-1,-1
637,-1,-1,-1,-1
638,-1,-1,-1,-1
639,-1,-1,-1,-1
640,-1,-1,-1,-1
641,-1,-1,-1,-1
642,-1,-1,-1,-1
643,-1,-1,-1,-1
644,-1,-1,-1,-1
645,-1,-1,-1,-1
646,-1,-1,-1,-1
647,-1,-1,-1,-1
648,-1,-1,-1,-1
649,-1,-1,-1,-1
650,-1,-1,-1,-1
651,-1,-1,-1,-1
652,-1,-1,-1,-1
653,80001500,-1,-1,-1
654,80001400,80001501,-1,-1
655,80001300,80001401,80001502,-1
656,80001200,80001301,80001402,80001503
657,-1,80001201,80001302,80001403
658,-1,-1,80001202,80001303
659,-1,-1,-1,80001203
660,-1,-1,-1,-1
661,-1,-1,-1,-1
662,-1,-1,-1,-1
663,-1,-1,-1,-1
664,-1,-1,-1,-1
665,-1,-1,-1,-1
666,-1,-1,-1,-1
667,-1,-1,-1,-1
668,-1,-1,-1,-1
669,-1,-1,-1,-1
670,-1,-1,-1,-1
671,-1,-1,-1,-1
672,-1,-1,-1,-1
673,-1,-1,-1,-1
674,-1,-1,-1,-1
675,-1,-1,-1,-1
676,-1,-1,-1,-1
677,-1,-1,-1,-1
678,-1,-1,-1,-1
679,-1,-1,-1,-1
680,-1,-1,-1,-1
681,-1,-1,-1,-1
682,-1,-1,-1,-1
683,-1,-1,-1,-1
684,-1,-1,-1,-1
685,-1,-1,-1,-1
686,-1,-1,-1,-1
687,-1,-1,-1,-1
688,-1,-1,-1,-1
689,-1,-1,-1,-1
690,-1,-1,-1,-1
691,-1,-1,-1,-1
692,-1,-1,-1,-1
693,-1,-1,-1,-1
694,-1,-1,-1,-1
695,-1,-1,-1,-1
696,-1,-1,-1,-1
697,-1,-1,-1,-1
698,-1,-1,-1,-1
699,-1,-1,-1,-1
700,-1,-1,-1,-1
701,-1,-1,-1,-1
702,-1,-1,-1,-1
703,-1,-1,-1,-1
704,-1,-1,-1,-1
705,-1,-1,-1,-1
706,-1,-1,-1,-1
707,-1,-1,-1,-1
708,-1,-1,-1,-1
709,-1,-1,-1,-1
710,-1,-1,-1,-1
711,-1,-1,-1,-1
712,-1,-1,-1,-1
713,-1,-1,-1,-1
714,-1,-1,-1,-1
715,-1,-1,-1,-1
716,-1,-1,-1,-1
717,-1,-1,-1,-1
718,-1,-1,-1,-1
719,-1,-1,-1,-1
720,-1,-1,-1,-1
721,-1,-1,-1,-1
722,-1,-1,-1,-1
723,-1,-1,-1,-1
724,-1,-1,-1,-1
725,-1,-1,-1,-1
726,-1,-1,-1,-1
727,-1,-1,-1,-1
728,-1,-1,-1,-1
729,-1,-1,-1,-1
730,-1,-1,-1,-1
731,-1,-1,-1,-1
732,-1,-1,-1,-1
733,-1,-1,-1,-1
734,-1,-1,-1,-1
735,-1,-1,-1,-1
736,-1,-1,-1,-1
737,-1,-1,-1,-1
738,-1,-1,-1,-1
739,-1,-1,-1,-1
740,-1,-1,-1,-1
741,-1,-1,-1,-1
742,-1,-1,-1,-1
743,-1,-1,-1,-1
744,-1,-1,-1,-1
745,-1,-1,-1,-1
746,-1,-1,-1,-1
747,-1,-1,-1,-1
748,-1,-1,-1,-1
749,-1,-1,-1,-1
750,-1,-1,-1,-1
751,-1,-1,-1,-1
752,-1,-1,-1,-1
753,-1,-1,-1,-1
754,-1,-1,-1,-1
755,-1,-1,-1,-1
756,-1,-1,-1,-1
757,-1,-1,-1,-1
758,-1,-1,-1,-1
759,80001900,-1,-1,-1
760,80001800,80001901,-1,-1
761,80001700,80001801,80001902,-1
762,80001600,80001701,80001802,80001903
763,-1,80001601,80001702,80001803
764,-1,-1,80001602,80001703
765,-1,-1,-1,80001603
766,-1,-1,-1,-1
767,-1,-1,-1,-1
768,-1,-1,-1,-1
769,-1,-1,-1,-1
770,-1,-1,-1,-1
771,-1,-1,-1,-1
772,-1,-1,-1,-1
773,-1,-1,-1,-1
774,-1,-1,-1,-1
775,-1,-1,-1,-1
776,-1,-1,-1,-1
777,-1,-1,-1,-1
778,-1,-1,-1,-1
779,-1,-1,-1,-1
780,-1,-1,-1,-1
781,-1,-1,-1,-1
782,-1,-1,-1,-1
783,-1,-1,-1,-1
784,-1,-1,-1,-1
785,-1,-1,-1,-1
786,-1,-1,-1,-1
787,-1,-1,-1,-1
788,-1,-1,-1,-1
789,-1,-1,-1,-1
790,-1,-1,-1,-1
791,-1,-1,-1,-1
792,-1,-1,-1,-1
793,-1,-1,-1,-1
794,-1,-1,-1,-1
795,-1,-1,-1,-1
796,-1,-1,-1,-1
797,-1,-1,-1,-1
798,-1,-1,-1,-1
799,-1,-1,-1,-1
800,-1,-1,-1,-1
801,-1,-1,-1,-1
802,-1,-1,-1,-1
803,-1,-1,-1,-1
804,-1,-1,-1,-1
805,-1,-1,-1,-1
806,-1,-1,-1,-1
807,-1,-1,-1,-1
808,-1,-1,-1,-1
809,-1,-1,-1,-1
810,-1,-1,-1,-1
811,-1,-1,-1,-1
812,-1,-1,-1,-1
813,-1,-1,-1,-1
814,-1,-1,-1,-1
815,-1,-1,-1,-1
816,-1,-1,-1,-1
817,-1,-1,-1,-1
818,-1,-1,-1,-1
819,-1,-1,-1,-1
820,-1,-1,-1,-1
821,-1,-1,-1,-1
822,-1,-1,-1,-1
823,-1,-1,-1,-1
824,-1,-1,-1,-1
825,-1,-1,-1,-1
826,-1,-1,-1,-1
827,-1,-1,-1,-1
828,-1,-1,-1,-1
829,-1,-1,-1,-1
830,-1,-1,-1,-1
831,-1,-1,-1,-1
832,-1,-1,-1,-1
833,-1,-1,-1,-1
834,-1,-1,-1,-1
835,-1,-1,-1,-1
836,-1,-1,-1,-1
837,-1,-1,-1,-1
838,-1,-1,-1,-1
839,-1,-1,-1,-1
840,-1,-1,-1,-1
841,-1,-1,-1,-1
842,-1,-1,-1,-1
843,-1,-1,-1,-1
844,-1,-1,-1,-1
845,-1,-1,-1,-1
846,-1,-1,-1,-1
847,-1,-1,-1,-1
848,-1,-1,-1,-1
849,-1,-1,-1,-1
850,-1,-1,-1,-1
851,-1,-1,-1,-1
852,-1,-1,-1,-1
853,-1,-1,-1,-1
854,-1,-1,-1,-1
855,-1,-1,-1,-1
856,-1,-1,-1,-1
857,-1,-1,-1,-1
858,-1,-1,-1,-1
859,-1,-1,-1,-1
860,-1,-1,-1,-1
861,-1,-1,-1,-1
862,-1,-1,-1,-1
863,-1,-1,-1,-1
864,-1,-1,-1,-1
865,80002300,-1,-1,-1
866,80002200,80002301,-1,-1
867,80002100,80002201,80002302,-1
868,80002000,80002101,80002202,80002303
869,-1,80002001,80002102,80002203
870,-1,-1,80002002,80002103
871,-1,-1,-1,80002003
872,-1,-1,-1,-1
873,-1,-1,-1,-1
874,-1,-1,-1,-1
875,-1,-1,-1,-1
876,-1,-1,-1,-1
877,-1,-1,-1,-1
878,-1,-1,-1,-1
879,-1,-1,-1,-1
880,-1,-1,-1,-1
881,-1,-1,-1,-1
882,-1,-1,-1,-1
883,-1,-1,-1,-1
884,-1,-1,-1,-1
885,-1,-1,-1,-1
886,-1,-1,-1,-1
887,-1,-1,-1,-1
888,-1,-1,-1,-1
889,-1,-1,-1,-1
890,-1,-1,-1,-1
891,-1,-1,-1,-1
892,-1,-1,-1,-1
893,-1,-1,-1,-1
894,-1,-1,-1,-1
895,-1,-1,-1,-1
896,-1,-1,-1,-1
897,-1,-1,-1,-1
898,-1,-1,-1,-1
899,-1,-1,-1,-1
900,-1,-1,-1,-1
901,-1,-1,-1,-1
902,-1,-1,-1,-1
903,-1,-1,-1,-1
904,-1,-1,-1,-1
905,-1,-1,-1,-1
906,-1,-1,-1,-1
907,-1,-1,-1,-1
908,-1,-1,-1,-1
909,-1,-1,-1,-1
910,-1,-1,-1,-1
911,-1,-1,-1,-1
912,-1,-1,-1,-1
913,-1,-1,-1,-1
914,-1,-1,-1,-1
915,-1,-1,-1,-1
916,-1,-1,-1,-1
917,-1,-1,-1,-1
918,-1,-1,-1,-1
919,-1,-1,-1,-1
920,-1,-1,-1,-1
921,-1,-1,-1,-1
922,-1,-1,-1,-1
923,-1,-1,-1,-1
924,-1,-1,-1,-1
925,-1,-1,-1,-1
926,-1,-1,-1,-1
927,-1,-1,-1,-1
928,-1,-1,-1,-1
929,-1,-1,-1,-1
930,-1,-1,-1,-1
931,-1,-1,-1,-1
932,-1,-1,-1,-1
933,-1,-1,-1,-1
934,-1,-1,-1,-1
935,-1,-1,-1,-1
936,-1,-1,-1,-1
937,-1,-1,-1,-1
938,-1,-1,-1,-1
939,-1,-1,-1,-1
940,-1,-1,-1,-1
941,-1,-1,-1,-1
942,-1,-1,-1,-1
943,-1,-1,-1,-1
944,-1,-1,-1,-1
945,-1,-1,-1,-1
946,-1,-1,-1,-1
947,-1,-1,-1,-1
948,-1,-1,-1,-1
949,-1,-1,-1,-1
950,-1,-1,-1,-1
951,-1,-1,-1,-1
952,-1,-1,-1,-1
953,-1,-1,-1,-1
954,-1,-1,-1,-1
955,-1,-1,-1,-1
956,-1,-1,-1,-1
957,-1,-1,-1,-1
958,-1,-1,-1,-1
959,-1,-1,-1,-1
960,-1,-1,-1,-1
961,-1,-1,-1,-1
962,-1,-1,-1,-1
963,-1,-1,-1,-1
964,-1,-1,-1,-1
965,-1,-1,-1,-1
966,-1,-1,-1,-1
967,-1,-1,-1,-1
968,-1,-1,-1,-1
969,-1,-1,-1,-1
970,-1,-1,-1,-1
971,80002700,-1,-1,-1
972,80002600,80002701,-1,-1
973,80002500,80002601,80002702,-1
974,80002400,80002501,80002602,80002703
975,-1,80002401,80002502,80002603
976,-1,-1,80002402,80002503
977,-1,-1,-1,80002403
978,-1,-1,-1,-1
979,-1,-1,-1,-1
980,-1,-1,-1,-1
981,-1,-1,-1,-1
982,-1,-1,-1,-1
983,-1,-1,-1,-1
984,-1,-1,-1,-1
985,-1,-1,-1,-1
986,-1,-1,-1,-1
987,-1,-1,-1,-1
988,-1,-1,-1,-1
989,-1,-1,-1,-1
990,-1,-1,-1,-1
991,-1,-1,-1,-1
992,-1,-1,-1,-1
993,-1,-1,-1,-1
994,-1,-1,-1,-1
995,-1,-1,-1,-1
996,-1,-1,-1,-1
997,-1,-1,-1,-1
998,-1,-1,-1,-1
999,-1,-1,-1,-1
1000,-1,-1,-1,-1
1001,-1,-1,-1,-1
1002,-1,-1,-1,-1
1003,-1,-1,-1,-1
1004,-1,-1,-1,-1
1005,-1,-1,-1,-1
1006,-1,-1,-1,-1
1007,-1,-1,-1,-1
1008,-1,-1,-1,-1
1009,-1,-1,-1,-1
1010,-1,-1,-1,-1
1011,-1,-1,-1,-1
1012,-1,-1,-1,-1
1013,-1,-1,-1,-1
1014,-1,-1,-1,-1
1015,-1,-1,-1,-1
1016,-1,-1,-1,-1
1017,-1,-1,-1,-1
1018,-1,-1,-1,-1
1019,-1,-1,-1,-1
1020,-1,-1,-1,-1
1021,-1,-1,-1,-1
1022,-1,-1,-1,-1
1023,-1,-1,-1,-1
1024,-1,-1,-1,-1
1025,-1,-1,-1,-1
1026,-1,-1,-1,-1
1027,-1,-1,-1,-1
1028,-1,-1,-1,-1
1029,-1,-1,-1,-1
1030,-1,-1,-1,-1
1031,-1,-1,-1,-1
1032,-1,-1,-1,-1
1033,-1,-1,-1,-1
1034,-1,-1,-1,-1
1035,-1,-1,-1,-1
1036,-1,-1,-1,-1
1037,-1,-1,-1,-1
1038,-1,-1,-1,-1
1039,-1,-1,-1,-1
1040,-1,-1,-1,-1
1041,-1,-1,-1,-1
1042,-1,-1,-1,-1
1043,-1,-1,-1,-1
1044,-1,-1,-1,-1
1045,-1,-1,-1,-1
1046,-1,-1,-1,-1
1047,-1,-1,-1,-1
1048,-1,-1,-1,-1
1049,-1,-1,-1,-1
1050,-1,-1,-1,-1
1051,-1,-1,-1,-1
1052,-1,-1,-1,-1
1053,-1,-1,-1,-1
1054,-1,-1,-1,-1
1055,-1,-1,-1,-1
1056,-1,-1,-1,-1
1057,-1,-1,-1,-1
1058,-1,-1,-1,-1
1059,-1,-1,-1,-1
1060,-1,-1,-1,-1
1061,-1,-1,-1,-1
1062,-1,-1,-1,-1
1063,-1,-1,-1,-1
1064,-1,-1,-1,-1
1065,-1,-1,-1,-1
1066,-1,-1,-1,-1
1067,-1,-1,-1,-1
1068,-1,-1,-1,-1
1069,-1,-1,-1,-1
1070,-1,-1,-1,-1
1071,-1,-1,-1,-1
1072,-1,-1,-1,-1
1073,-1,-1,-1,-1
1074,-1,-1,-1,-1
1075,-1,-1,-1,-1
1076,-1,-1,-1,-1
1077,80003100,-1,-1,-1
1078,80003000,80003101,-1,-1
1079,80002900,80003001,80003102,-1
1080,80002800,80002901,80003002,80003103
1081,-1,80002801,80002902,80003003
1082,-1,-1,80002802,80002903
1083,-1,-1,-1,80002803
1084,-1,-1,-1,-1
1085,-1,-1,-1,-1
1086,-1,-1,-1,-1
1087,-1,-1,-1,-1
1088,-1,-1,-1,-1
1089,-1,-1,-1,-1
1090,-1,-1,-1,-1
1091,-1,-1,-1,-1
1092,-1,-1,-1,-1
1093,-1,-1,-1,-1
1094,-1,-1,-1,-1
1095,-1,-1,-1,-1
1096,-1,-1,-1,-1
1097,-1,-1,-1,-1
1098,-1,-1,-1,-1
1099,-1,-1,-1,-1
1100,-1,-1,-1,-1
1101,-1,-1,-1,-1
1102,-1,-1,-1,-1
1103,-1,-1,-1,-1
1104,-1,-1,-1,-1
1105,-1,-1,-1,-1
1106,-1,-1,-1,-1
1107,-1,-1,-1,-1
1108,-1,-1,-1,-1
1109,-1,-1,-1,-1
1110,-1,-1,-1,-1
1111,-1,-1,-1,-1
1112,-1,-1,-1,-1
1113,-1,-1,-1,-1
1114,-1,-1,-1,-1
1115,-1,-1,-1,-1
1116,-1,-1,-1,-1
1117,-1,-1,-1,-1
1118,-1,-1,-1,-1
1119,-1,-1,-1,-1
1120,-1,-1,-1,-1
1121,-1,-1,-1,-1
1122,-1,-1,-1,-1
1123,-1,-1,-1,-1
1124,-1,-1,-1,-1
1125,-1,-1,-1,-1
1126,-1,-1,-1,-1
1127,-1,-1,-1,-1
1128,-1,-1,-1,-1
1129,-1,-1,-1,-1
1130,-1,-1,-1,-1
1131,-1,-1,-1,-1
1132,-1,-1,-1,-1
1133,-1,-1,-1,-1
1134,-1,-1,-1,-1
1135,-1,-1,-1,-1
1136,-1,-1,-1,-1
1137,-1,-1,-1,-1
1138,-1,-1,-1,-1
1139,-1,-1,-1,-1
1140,-1,-1,-1,-1
1141,-1,-1,-1,-1
1142,-1,-1,-1,-1
1143,-1,-1,-1,-1
1144,-1,-1,-1,-1
1145,-1,-1,-1,-1
1146,-1,-1,-1,-1
1147,-1,-1,-1,-1
1148,-1,-1,-1,-1
1149,-1,-1,-1,-1
1150,-1,-1,-1,-1
1151,-1,-1,-1,-1
1152,-1,-1,-1,-1
1153,-1,-1,-1,-1
1154,-1,-1,-1,-1
1155,-1,-1,-1,-1
1156,-1,-1,-1,-1
1157,-1,-1,-1,-1
1158,-1,-1,-1,-1
1159,-1,-1,-1,-1
1160,-1,-1,-1,-1
1161,-1,-1,-1,-1
1162,-1,-1,-1,-1
1163,-1,-1,-1,-1
1164,-1,-1,-1,-1
1165,-1,-1,-1,-1
1166,-1,-1,-1,-1
1167,-1,-1,-1,-1
1168,-1,-1,-1,-1
1169,-1,-1,-1,-1
1170,-1,-1,-1,-1
1171,-1,-1,-1,-1
1172,-1,-1,-1,-1
1173,-1,-1,-1,-1
1174,-1,-1,-1,-1
1175,-1,-1,-1,-1
1176,-1,-1,-1,-1
1177,-1,-1,-1,-1
1178,-1,-1,-1,-1
1179,-1,-1,-1,-1
1180,-1,-1,-1,-1
1181,-1,-1,-1,-1
1182,-1,-1,-1,-1
1183,80003500,-1,-1,-1
1184,80003400,80003501,-1,-1
1185,80003300,80003401,80003502,-1
1186,80003200,80003301,80003402,80003503
1187,-1,80003201,80003302,80003403
1188,-1,-1,80003202,80003303
1189,-1,-1,-1,80003203
1190,-1,-1,-1,-1
1191,-1,-1,-1,-1
1192,-1,-1,-1,-1
1193,-1,-1,-1,-1
1194,-1,-1,-1,-1
1195,-1,-1,-1,-1
1196,-1,-1,-1,-1
1197,-1,-1,-1,-1
1198,-1,-1,-1,-1
1199,-1,-1,-1,-1
1200,-1,-1,-1,-1
1201,-1,-1,-1,-1
1202,-1,-1,-1,-1
1203,-1,-1,-1,-1
1204,-1,-1,-1,-1
1205,-1,-1,-1,-1
1206,-1,-1,-1,-1
1207,-1,-1,-1,-1
1208,-1,-1,-1,-1
1209,-1,-1,-1,-1
